date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:13	311845/311845	---M--	200	added ('OK')	image/png	etag:%224c225-63c8325f-eb7c730c0371dcc2;;;%22	https://html.themexplosion.com/goru/assets/images/home/1.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/1.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:13	15291/15291	---M--	200	added ('OK')	image/jpeg	etag:%223bbb-63c8325f-8204c171b7586843;;;%22	https://html.themexplosion.com/goru/assets/images/home/p10.jpg	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/p10.jpg	(from https://html.themexplosion.com/goru/index2.html)
18:46:13	4657/4657	---M--	200	added ('OK')	image/png	etag:%221231-63c8325f-5385bc1818600df1;;;%22	https://html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/1.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/1.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:14	4633/4633	---M--	200	added ('OK')	image/png	etag:%221219-63c8325f-e06e3c46e3688997;;;%22	https://html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/2.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/2.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:14	7317/7317	---M--	200	added ('OK')	image/png	etag:%221c95-63c8325f-907de2765928df47;;;%22	https://html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/3.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/3.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:14	5991/5991	---M--	200	added ('OK')	image/png	etag:%221767-63c8325f-613754859d3c53ef;;;%22	https://html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/4.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/4.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:15	6182/6182	---M--	200	added ('OK')	image/png	etag:%221826-63c8325f-e996f7488a39751f;;;%22	https://html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/5.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/home/client-logo-grayscale/5.png	(from https://html.themexplosion.com/goru/index2.html)
18:46:15	85579/85579	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214e4b-63c8325f-1b5558e634672c4c;gz%22	https://html.themexplosion.com/goru/assets/js/jquery.js	D:/my%20websites/template2/html.themexplosion.com/goru/assets/js/jquery.js	(from https://html.themexplosion.com/goru/index2.html)
18:46:16	60010/60010	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ea6a-63c8325f-6edef18bc5e2734c;gz%22	https://html.themexplosion.com/goru/assets/js/bootstrap.min.js	D:/my%20websites/template2/html.themexplosion.com/goru/assets/js/bootstrap.min.js	(from https://html.themexplosion.com/goru/index2.html)
18:46:17	9174/9174	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223d6-63c8325f-9b0e15197a386ba5;gz%22	https://html.themexplosion.com/goru/assets/js/modernizr.custom.js	D:/my%20websites/template2/html.themexplosion.com/goru/assets/js/modernizr.custom.js	(from https://html.themexplosion.com/goru/index2.html)
18:46:17	2416/2416	---M-Z	200	added ('OK')	application/x-javascript	etag:%22970-63c8325f-e0003bd4a46f5968;gz%22	https://html.themexplosion.com/goru/assets/js/jquery.appear.js	D:/my%20websites/template2/html.themexplosion.com/goru/assets/js/jquery.appear.js	(from https://html.themexplosion.com/goru/index2.html)
